title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Biuro kredytowe Siemianowice,Siemianowice Śląskie,14 lutego 2018,415186947,Pełny etat,Umowa o pracę,2 300  -  4 000 zł/mies.,117
Specjalista ds. kadr i płac,Mikołów,14 lutego 2018,385947567,Pełny etat,Umowa o pracę,  ,398
"Biuro Rachunkowe, Główna Księgowa - nawiążemy współpracę",Toruń,14 lutego 2018,415189179,Pełny etat,Samozatrudnienie,  ,105
Fakturzystka/kadrowa/admistracja,Warszawa,14 lutego 2018,415190187,Pełny etat,Umowa o pracę,  ,205
Główna Księgowa / Kierownik biura rachunkowego,Warszawa,14 lutego 2018,411035947,Pełny etat,Umowa o pracę,6 000  -  10 000 zł/mies.,890
Samodzielna księgowa sp. z o.o. 4 godziny dziennie,Warszawa,14 lutego 2018,413044387,Niepełny etat,Umowa zlecenie,3 200  -  3 800 zł/mies.,727
Główny Księgowy Miejsce pracy: CZĘSTOCHOWA,Częstochowa,14 lutego 2018,326681238,Pełny etat,Umowa o pracę,  ,3191
Doradca Klienta,Gubin,14 lutego 2018,360254696,Pełny etat,Umowa o pracę,3 000  -  7 000 zł/mies.,290
Starszy Opiekun finansowy - Radom,Radom,14 lutego 2018,415148827,Pełny etat,Umowa o pracę,  ,123
Specjalista ds. sprzedaży produktów kredytowych,Gdynia,14 lutego 2018,290213187,Pełny etat,Umowa o pracę,  ,5152
Młodszy Księgowy,Kiełpiny,14 lutego 2018,414348447,Pełny etat,Umowa o pracę,  ,180
Samodzielna/y Księgowa/y,Warszawa,14 lutego 2018,364843692,Pełny etat,Umowa o pracę,  ,2801
Starszy Opiekun Finansowy Kraków,Kraków,14 lutego 2018,369671971,Pełny etat,Umowa o pracę,  ,550
Poszukujemy Do Naszego Zespołu Komunikatywnych Osób,Krosno,14 lutego 2018,415134259,Pełny etat,Umowa zlecenie,  ,161
Specjalista ds. Finansowych Starachowice,Starachowice,14 lutego 2018,400847493,Pełny etat,Umowa o pracę,  ,1452
Młodsza/y Księgowa/y,Kalisz,14 lutego 2018,409551841,Pełny etat,Umowa zlecenie,  ,899
