title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Magazynier-operator belownicy,Kęty,14 lutego 2018,415364461,Niepełny etat,Umowa o pracę,  ,169
"Magazynier, pakowanie paczek -sklep internetowy z zabawkami- LEGIONOWO",Legionowo,14 lutego 2018,274597217,Pełny etat,Umowa zlecenie,2 200  -  2 700 zł/mies.,16845
Magazynier - firma Pryzmat - Kotlin,Kotlin,14 lutego 2018,370724577,Pełny etat,Umowa o pracę,  ,2720
Kierowca C+E / magazynier,Wrocław,14 lutego 2018,415357737,Pełny etat,Umowa o pracę,3 000  -  4 000 zł/mies.,65
Pracownik Firma Achilles Przeprowadzki,Inowrocław,14 lutego 2018,385978737,Pełny etat,Umowa o pracę,2 500  -  2 700 zł/mies.,3285
Brygadzista - magazynier,Radzymin,14 lutego 2018,415372097,Pełny etat,Umowa zlecenie,3 500  -  4 300 zł/mies.,100
Operator wózka widłowego-praca od poniedziałku do piątku umowa o pracę,Olsztyn,14 lutego 2018,347343844,Pełny etat,Umowa o pracę,  ,14385
Praca w hurtowni tkanin,Kępno,14 lutego 2018,414702821,Pełny etat,Umowa o pracę,  ,389
Pracownik do Magazynu - Sortownia -Ursynów / Warszawa,Warszawa,14 lutego 2018,311404888,Pełny etat,Umowa zlecenie,  ,122
Magazynier - Słubice - Wysoki skład,Słubice,15 lutego 2018,415402591,Pełny etat,Umowa o pracę,  ,55
Pomocnik magazyniera,Bielsko-Biała,15 lutego 2018,406795863,Pełny etat,Umowa o pracę,  ,1347
Magazynier,Gorzów Wielkopolski,15 lutego 2018,397647191,Pełny etat,Umowa o pracę,  ,2841
Magazynier - Wrocław (Psie Pole),Wrocław,15 lutego 2018,392368719,Pełny etat,Umowa o pracę,  ,10
Operator wózka widłowego - Sosnowiec,Sosnowiec,15 lutego 2018,401210657,Pełny etat,Umowa zlecenie,  ,647
Pracownik magazynowy,Zielona Góra,15 lutego 2018,152434061,Pełny etat,Umowa o pracę,  ,33463
Magazynier - Sklep Internetowy [1800zł na rękę - umowa o pracę],Gdańsk,13 lutego 2018,414921447,Pełny etat,Umowa o pracę,  ,344
Magazynier,Bydgoszcz,15 lutego 2018,390400763,Pełny etat,Umowa o pracę,  ,1831
Magazynier KS SPORT,Malbork,15 lutego 2018,410180271,Pełny etat,Umowa o pracę,  ,996
"Pakowacz w magazynie Umowa o Pracę, Łodz Widzew",Łódź,14 lutego 2018,334390904,Pełny etat,Umowa o pracę,2 750  -  3 000 zł/mies.,5323
Zatrudnię magazyniera /kierowcę,Rawa Mazowiecka,14 lutego 2018,415305873,Pełny etat,Umowa o pracę,  ,286
"Amazon, pracownik magazynowy-4 dni pracy w tygodniu",Wolin,14 lutego 2018,403439933,Pełny etat,Umowa o pracę,  ,3
"Amazon, pracownik magazynowy-4 dni pracy w tygodniu",Szczecin,14 lutego 2018,399423603,Pełny etat,Umowa o pracę,  ,29
"Amazon, pracownik magazynowy-4 dni pracy w tygodniu",Chojna,14 lutego 2018,403442545,Pełny etat,Umowa o pracę,  ,4
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Wolin,14 lutego 2018,407622863,Niepełny etat,Umowa o pracę,  ,3
"Amazon, pracownik magazynowy-4 dni pracy w tygodniu",Gryfino,14 lutego 2018,403440749,Pełny etat,Umowa o pracę,  ,6
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Szczecin,14 lutego 2018,407625345,Niepełny etat,Umowa o pracę,  ,35
"Operator wózka widłowego 4-4,5 tys. zł brutto/ mies.",Pruszków,15 lutego 2018,397496263,Pełny etat,Umowa o pracę,  ,2610
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Gryfice,14 lutego 2018,407620453,Niepełny etat,Umowa o pracę,  ,16
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Chojna,14 lutego 2018,407622847,Niepełny etat,Umowa o pracę,  ,3
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Płoty,14 lutego 2018,407620427,Niepełny etat,Umowa o pracę,  ,5
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Nowogard,14 lutego 2018,407620383,Niepełny etat,Umowa o pracę,  ,7
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Choszczno,14 lutego 2018,407618001,Niepełny etat,Umowa o pracę,  ,10
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Pyrzyce,14 lutego 2018,407617893,Niepełny etat,Umowa o pracę,  ,7
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Goleniów,14 lutego 2018,407618023,Niepełny etat,Umowa o pracę,  ,12
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Skrzynka,14 lutego 2018,407617919,Niepełny etat,Umowa o pracę,  ,4
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Przybiernów,14 lutego 2018,407613141,Niepełny etat,Umowa o pracę,  ,7
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Łobez,14 lutego 2018,407613109,Niepełny etat,Umowa o pracę,  ,13
