title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Obsługa Sprzedaży Internetowej w Sklepie Jeździeckim,Kraków,15 lutego 2018,415484519,Pełny etat,Umowa o pracę,  ,89
Asystent Doradcy Klienta - Vistula CH Blue City Warszawa,Warszawa,15 lutego 2018,415486135,Niepełny etat,Umowa zlecenie,  ,23
"Wrocław, ul.Długa - Pracownik ds. sprzedaży internetowej - 1/2 etatu.",Wrocław,15 lutego 2018,339882802,Niepełny etat,Umowa o pracę,  ,6988
"Asystent sprzedaży-Sports Direct,Wrocław Bielany, P.H.Ikea,16zl+Premie",Bielany Wrocławskie,15 lutego 2018,341341922,Niepełny etat,Umowa o pracę,  ,1027
Kasjer/sprzedawca Delikatesy Centrum Huta Stara B,Częstochowa,15 lutego 2018,327602468,Pełny etat,Umowa o pracę,  ,2342
Doradca Klienta Cały etat Bielsko Biała,Bielsko-Biała,15 lutego 2018,405390705,Pełny etat,Umowa o pracę,  ,260
Zatrudnię sprzedawcę,Rumia,15 lutego 2018,404966905,Pełny etat,Umowa o pracę,  ,2126
Sklep Bricomarche Siedlce - Sprzedawca,Siedlce,15 lutego 2018,415475955,Pełny etat,Umowa o pracę,  ,206
Kierownik salonu odzieżowego - Warszawa,Warszawa,15 lutego 2018,415481957,Pełny etat,Umowa o pracę,  ,65
Pracownik Stacji Paliw Shell - obsługa podjazdu,Załuski,15 lutego 2018,164946585,Pełny etat,Umowa o pracę,  ,2543
Doradca Klienta cały etat /Bielsko Biała,Bielsko-Biała,15 lutego 2018,405391605,Pełny etat,Umowa o pracę,  ,378
Praca na wyspie marki ZAGATTO w galerii Sfera,Bielsko-Biała,15 lutego 2018,386964697,Pełny etat,Umowa zlecenie,  ,1211
"Ekspedientka/Ekspedient, Sprzedawczyni/Sprzedawca, Warszawa i okolice",Warszawa,15 lutego 2018,302948146,Pełny etat,Umowa o pracę,  ,1917
Sprzedawca - TXM Grójec,Grójec,15 lutego 2018,399800003,Pełny etat,Umowa zlecenie,  ,1799
Zatrudnię do sklepu spożywczego na Grochowie obok CH KingCross !,Warszawa,15 lutego 2018,350414362,Pełny etat,Umowa o pracę,12  -  15 zł/mies.,36
Pracuj u nas! / SPRZEDAWCA os. Widok/ Ugorek / Wola Duchacka / Ruczaj,Kraków,15 lutego 2018,400608635,Pełny etat,Umowa o pracę,2 300  -  2 500 zł/mies.,3356
Doradca klienta w hurtowni kosmetycznej,Poznań,15 lutego 2018,415485949,Pełny etat,Umowa o pracę,  ,139
Market Spożywczy Delikatesy Centrum Huta Stara B,Huta Stara B,15 lutego 2018,261089651,Pełny etat,Umowa o pracę,  ,755
Doradca handlowy - Sprzedawca,Łódź,15 lutego 2018,404582589,Pełny etat,Umowa o pracę,  ,2419
Obsługa klienta w sklepie odzieżowym Warszawa,Warszawa,15 lutego 2018,390537921,Pełny etat,Umowa o pracę,  ,1531
"Doradca klienta, sprzedawca odziezy.",Kalisz,15 lutego 2018,415486381,Pełny etat,Umowa o pracę,  ,89
Sprzedawca w Sklepie Jeździeckim - pełny etat,Kraków,15 lutego 2018,415486851,Pełny etat,Umowa o pracę,  ,81
Sprzedawca w sklepie CCC Bielany,Bielany Wrocławskie,15 lutego 2018,415487675,Pełny etat,Umowa o pracę,  ,8
Manager Sklepu,Wrocław,15 lutego 2018,412026843,Pełny etat,Umowa o pracę,  ,490
Tesco Złotów - Doradca Klienta,Poznań,15 lutego 2018,415487121,Niepełny etat,Umowa o pracę,  ,21
Zatrudnimy sprzedawców do cukierni,Ostrów Wielkopolski,15 lutego 2018,375149481,Pełny etat,Umowa o pracę,  ,3151
Sprzedawca funkcyjny w salonie - Łódź,Łódź,15 lutego 2018,415487139,Pełny etat,Umowa o pracę,  ,151
Bydgoszcz - pracownik ds. sprzedaży internetowej,Bydgoszcz,15 lutego 2018,367284722,Pełny etat,Umowa zlecenie,  ,4789
Zastępca Kierownika Sklepu,Bielsko-Biała,15 lutego 2018,415475479,Pełny etat,Umowa o pracę,  ,64
Praca na Stacji Paliw PKN ORLEN,Warszawa,10 lutego 2018,171772667,Pełny etat,Umowa o pracę,  ,5787
Kasjer/ Kasjerka Błonie,Błonie,15 lutego 2018,415489579,Pełny etat,Umowa zlecenie,  ,19
"Pracownik Działu Kas i Punktu Obsługi Klienta, OBI",Opole,15 lutego 2018,415483883,Pełny etat,Umowa o pracę,  ,36
Kierownik salonu odzieżowego - Kielce,Kielce,15 lutego 2018,415489425,Pełny etat,Umowa o pracę,  ,115
Zastępca kierownika sklepu TXM Namysłów,Namysłów,15 lutego 2018,358062544,Pełny etat,Umowa o pracę,  ,3648
Bieruń - umowa o pracę/umowa zlecenie Zakłady Bukmacherskie,Bieruń Stary,15 lutego 2018,381088771,Pełny etat,Umowa o pracę,  ,1471
Bielsko-Biała Umowa o pracę/umowa zlecenie Zakłady Bukmacherskie STS,Bielsko-Biała,15 lutego 2018,335185260,Dodatkowa / sezonowa,Umowa o pracę,  ,11861
Zastępca Kierownika Salonu CCC Wola Park,Warszawa,15 lutego 2018,342889454,Pełny etat,Umowa o pracę,  ,2574
Sprzedawca - Czechów - sklep zioła/zdrowa żywność 1/2 etatu popołunia,Lublin,15 lutego 2018,415469027,Niepełny etat,Umowa o pracę,  ,240
Zatrudnię do sklepu spożywczego w Zakopanem,Zakopane,15 lutego 2018,414779879,Pełny etat,Umowa o pracę,  ,86
Kasjer/ka Lubin,Lubin,15 lutego 2018,415471323,Pełny etat,Umowa zlecenie,  ,38
Sprzedawca Kasjer Sklep Spożywczy,Lubosz,15 lutego 2018,415469653,Pełny etat,Umowa o pracę,  ,8
Sklep Zabka Czyżyny,Kraków,15 lutego 2018,414739927,Pełny etat,Inny,  ,221
Zatrudnie kasjera-sprzedawcę,Gdańsk,15 lutego 2018,264686465,Niepełny etat,Umowa o pracę,  ,403
Sprzedawca Produktów Świeżych - GDAŃSK,Gdańsk,15 lutego 2018,415473537,Pełny etat,Umowa o pracę,  ,30
Sprzedawca-Oferujemy Przeszkolenie,Polkowice,15 lutego 2018,369790041,Pełny etat,Umowa o pracę,  ,6066
Sprzedawca- Oferujemy Szkolenie,Lubin,15 lutego 2018,369788231,Pełny etat,Umowa o pracę,  ,11268
